Cohort,EWAS_Cohens_d,haEWAS_Cohens_d,Difference_Cohens_d,CI_low,CI_high
GSE110607,0.3847217884070233,1.390337633219983,1.0056158448129595,0.573169827542804,1.461718651166002
GSE118144,-0.4100264111929468,2.936047435248222,3.346073846441169,2.7449957410792862,4.168369051162753
GSE96879,0.0931057907577909,1.0460735029915178,0.9529677122337268,0.4211429564873912,1.5531034266111292
Mean across cohorts,0.0226003893239558,1.7908195238199076,1.7682191344959517,1.4804659737885468,2.144781547499245
