Project,Model,TopN,C_index
TCGA-KICH,m,10,0.862084416
TCGA-KICH,m,20,0.953623836
TCGA-KICH,m,30,0.963781947
TCGA-KICH,m,40,0.973745127
TCGA-KICH,m,50,0.979532164
TCGA-KICH,m,60,0.979532164
TCGA-KICH,m,70,0.972124756
TCGA-KICH,m,80,0.965046567
TCGA-KICH,m,90,0.971518302
TCGA-KICH,m,100,0.963235867
TCGA-KICH,hm,5,0.967763158
TCGA-KICH,hm,10,0.976842376
TCGA-KICH,hm,20,0.978925709
TCGA-KICH,hm,30,0.984661306
TCGA-KICH,hm,40,0.970626218
TCGA-KICH,hm,50,0.98836501
TCGA-KICH,hm,60,0.980957602
TCGA-KICH,hm,70,0.984661306
TCGA-KICH,hm,80,0.970626218
TCGA-KICH,hm,90,0.978925709
TCGA-KICH,hm,100,0.978925709
TCGA-KICH,m+hm,5,0.968972006
TCGA-KICH,m+hm,10,0.952562541
TCGA-KICH,m+hm,20,0.969434969
TCGA-KICH,m+hm,30,0.980957602
TCGA-KICH,m+hm,40,0.970236355
TCGA-KICH,m+hm,50,0.980957602
TCGA-KICH,m+hm,60,0.979337232
TCGA-KICH,m+hm,70,0.962464804
TCGA-KICH,m+hm,80,0.961988304
TCGA-KICH,m+hm,90,0.829348062
TCGA-KICH,m+hm,100,0.951724063
TCGA-KIRC,m,5,0.569148924
TCGA-KIRC,m,10,0.636590706
TCGA-KIRC,m,20,0.649696004
TCGA-KIRC,m,30,0.645145229
TCGA-KIRC,m,40,0.689424886
TCGA-KIRC,m,50,0.697241678
TCGA-KIRC,m,60,0.696001054
TCGA-KIRC,m,70,0.695833884
TCGA-KIRC,m,80,0.699505537
TCGA-KIRC,m,90,0.706787798
TCGA-KIRC,m,100,0.70254176
TCGA-KIRC,hm,5,0.651895523
TCGA-KIRC,hm,10,0.66446658
TCGA-KIRC,hm,20,0.678579133
TCGA-KIRC,hm,30,0.692090712
TCGA-KIRC,hm,40,0.693408645
TCGA-KIRC,hm,50,0.709059734
TCGA-KIRC,hm,60,0.731147315
TCGA-KIRC,hm,70,0.727432004
TCGA-KIRC,hm,80,0.732366355
TCGA-KIRC,hm,90,0.733378703
TCGA-KIRC,hm,100,0.716519324
TCGA-KIRC,m+hm,5,0.668862648
TCGA-KIRC,m+hm,10,0.6787944
TCGA-KIRC,m+hm,20,0.683673051
TCGA-KIRC,m+hm,30,0.688675226
TCGA-KIRC,m+hm,40,0.683838675
TCGA-KIRC,m+hm,50,0.676368596
TCGA-KIRC,m+hm,60,0.711433438
TCGA-KIRC,m+hm,70,0.697011402
TCGA-KIRC,m+hm,80,0.703493087
TCGA-KIRC,m+hm,90,0.730417943
TCGA-KIRC,m+hm,100,0.694934504
TCGA-KIRP,m,5,0.768221407
TCGA-KIRP,m,10,0.760065224
TCGA-KIRP,m,20,0.772561316
TCGA-KIRP,m,30,0.794388984
TCGA-KIRP,m,40,0.788408576
TCGA-KIRP,m,50,0.788380583
TCGA-KIRP,m,60,0.777666428
TCGA-KIRP,m,70,0.782150823
TCGA-KIRP,m,80,0.78966523
TCGA-KIRP,m,90,0.795285664
TCGA-KIRP,m,100,0.790821912
TCGA-KIRP,hm,5,0.776171366
TCGA-KIRP,hm,10,0.80185443
TCGA-KIRP,hm,20,0.831552041
TCGA-KIRP,hm,30,0.812528041
TCGA-KIRP,hm,40,0.846694373
TCGA-KIRP,hm,50,0.842632233
TCGA-KIRP,hm,60,0.846432072
TCGA-KIRP,hm,70,0.847704356
TCGA-KIRP,hm,80,0.837648831
TCGA-KIRP,hm,90,0.834674513
TCGA-KIRP,hm,100,0.840711648
TCGA-KIRP,m+hm,5,0.77119304
TCGA-KIRP,m+hm,10,0.785229594
TCGA-KIRP,m+hm,20,0.831923988
TCGA-KIRP,m+hm,30,0.822770583
TCGA-KIRP,m+hm,40,0.843764306
TCGA-KIRP,m+hm,50,0.845092645
TCGA-KIRP,m+hm,60,0.846132419
TCGA-KIRP,m+hm,70,0.846862722
TCGA-KIRP,m+hm,80,0.841755405
TCGA-KIRP,m+hm,90,0.839539458
TCGA-KIRP,m+hm,100,0.837349339
TCGA-LGG,m,5,0.802536941
TCGA-LGG,m,10,0.801166319
TCGA-LGG,m,20,0.800484167
TCGA-LGG,m,30,0.799913095
TCGA-LGG,m,40,0.799394675
TCGA-LGG,m,50,0.794951258
TCGA-LGG,m,60,0.797721809
TCGA-LGG,m,70,0.794586348
TCGA-LGG,m,80,0.790278542
TCGA-LGG,m,90,0.789079918
TCGA-LGG,m,100,0.787666733
TCGA-LGG,hm,5,0.797639242
TCGA-LGG,hm,10,0.803877306
TCGA-LGG,hm,20,0.802645965
TCGA-LGG,hm,30,0.796231455
TCGA-LGG,hm,40,0.795801597
TCGA-LGG,hm,50,0.794284657
TCGA-LGG,hm,60,0.791663432
TCGA-LGG,hm,70,0.78999409
TCGA-LGG,hm,80,0.789429971
TCGA-LGG,hm,90,0.790166859
TCGA-LGG,hm,100,0.790918804
TCGA-LGG,m+hm,5,0.797948412
TCGA-LGG,m+hm,10,0.802650985
TCGA-LGG,m+hm,20,0.801614068
TCGA-LGG,m+hm,30,0.794961003
TCGA-LGG,m+hm,40,0.795240495
TCGA-LGG,m+hm,50,0.793532487
TCGA-LGG,m+hm,60,0.792182778
TCGA-LGG,m+hm,70,0.788665422
TCGA-LGG,m+hm,80,0.787941396
TCGA-LGG,m+hm,90,0.788338853
TCGA-LGG,m+hm,100,0.787928444
TCGA-LIHC,m,5,0.630261474
TCGA-LIHC,m,10,0.626392482
TCGA-LIHC,m,20,0.668375328
TCGA-LIHC,m,30,0.706468104
TCGA-LIHC,m,40,0.700793679
TCGA-LIHC,m,50,0.6908157
TCGA-LIHC,m,60,0.69363932
TCGA-LIHC,m,70,0.705600577
TCGA-LIHC,m,80,0.717090042
TCGA-LIHC,m,90,0.729324709
TCGA-LIHC,m,100,0.725032255
TCGA-LIHC,hm,5,0.650253108
TCGA-LIHC,hm,10,0.678591225
TCGA-LIHC,hm,20,0.705980159
TCGA-LIHC,hm,30,0.707540845
TCGA-LIHC,hm,40,0.701387535
TCGA-LIHC,hm,50,0.714719945
TCGA-LIHC,hm,60,0.719291
TCGA-LIHC,hm,70,0.719338772
TCGA-LIHC,hm,80,0.726188387
TCGA-LIHC,hm,90,0.728816306
TCGA-LIHC,hm,100,0.731436357
TCGA-LIHC,m+hm,5,0.670718503
TCGA-LIHC,m+hm,10,0.680991342
TCGA-LIHC,m+hm,20,0.715142723
TCGA-LIHC,m+hm,30,0.723139923
TCGA-LIHC,m+hm,40,0.715046135
TCGA-LIHC,m+hm,50,0.731012736
TCGA-LIHC,m+hm,60,0.73623367
TCGA-LIHC,m+hm,70,0.736924491
TCGA-LIHC,m+hm,80,0.746787437
TCGA-LIHC,m+hm,90,0.745091331
TCGA-LIHC,m+hm,100,0.742776895
TCGA-LUAD,m,5,0.609377688
TCGA-LUAD,m,10,0.603555865
TCGA-LUAD,m,20,0.630730799
TCGA-LUAD,m,30,0.6451794
TCGA-LUAD,m,40,0.639475948
TCGA-LUAD,m,50,0.626875549
TCGA-LUAD,m,60,0.630661688
TCGA-LUAD,m,70,0.634567202
TCGA-LUAD,m,80,0.626370733
TCGA-LUAD,m,90,0.64053965
TCGA-LUAD,m,100,0.647281194
TCGA-LUAD,hm,5,0.64017758
TCGA-LUAD,hm,10,0.663414831
TCGA-LUAD,hm,20,0.668048097
TCGA-LUAD,hm,30,0.653231842
TCGA-LUAD,hm,40,0.659233227
TCGA-LUAD,hm,50,0.655930499
TCGA-LUAD,hm,60,0.671132274
TCGA-LUAD,hm,70,0.67034577
TCGA-LUAD,hm,80,0.681928853
TCGA-LUAD,hm,90,0.691771286
TCGA-LUAD,hm,100,0.694111021
TCGA-LUAD,m+hm,5,0.646084009
TCGA-LUAD,m+hm,10,0.655613607
TCGA-LUAD,m+hm,20,0.655697463
